Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,119024.000000,120354.000000,118062.000000,118558.000000,118558.000000,8741400
2021-01-05,118835.000000,119790.000000,116756.000000,119223.000000,119223.000000,9257100
2021-01-06,119377.000000,120924.000000,118917.000000,119851.000000,119851.000000,11638200
2021-01-07,119103.000000,121983.000000,119101.000000,121956.000000,121956.000000,11774800
2021-01-08,122387.000000,125324.000000,122386.000000,125077.000000,125077.000000,11085800
2021-01-11,125075.000000,125075.000000,122506.000000,122807.000000,122807.000000,9537600
2021-01-12,123255.000000,124584.000000,123227.000000,123998.000000,123998.000000,8949000
2021-01-13,123996.000000,124032.000000,121016.000000,122040.000000,122040.000000,10291500
2021-01-14,121947.000000,123896.000000,121947.000000,123481.000000,123481.000000,8974400
2021-01-15,123472.000000,123472.000000,120374.000000,120502.000000,120502.000000,9387600
2021-01-18,120351.000000,122586.000000,120351.000000,121242.000000,121242.000000,7223100
2021-01-19,121250.000000,122120.000000,119257.000000,120673.000000,120673.000000,7886000
2021-01-20,120645.000000,121449.000000,118740.000000,119708.000000,119708.000000,7947300
2021-01-21,119628.000000,120243.000000,117785.000000,118443.000000,118443.000000,8573900
2021-01-22,118318.000000,118318.000000,116109.000000,117172.000000,117172.000000,9373100
2021-01-26,117381.000000,119167.000000,116109.000000,116464.000000,116464.000000,10681400
2021-01-27,116463.000000,117840.000000,114887.000000,115882.000000,115882.000000,12380400
2021-01-28,115882.000000,119314.000000,115734.000000,119314.000000,119314.000000,12065900
2021-01-29,118880.000000,118880.000000,115299.000000,116007.000000,116007.000000,10965200
2021-02-01,115093.000000,117862.000000,115093.000000,117365.000000,117365.000000,8716500
2021-02-02,117520.000000,119805.000000,117519.000000,118234.000000,118234.000000,11625900
2021-02-03,118235.000000,120210.000000,118234.000000,119725.000000,119725.000000,8704300
2021-02-04,119728.000000,120560.000000,118918.000000,119261.000000,119261.000000,8100700
2021-02-05,119261.000000,121117.000000,119261.000000,119925.000000,119925.000000,8208400
2021-02-08,120239.000000,120844.000000,119140.000000,119516.000000,119516.000000,8619100
2021-02-09,119696.000000,119975.000000,118246.000000,119429.000000,119429.000000,7913500
2021-02-10,119472.000000,119738.000000,117970.000000,118430.000000,118430.000000,8644600
2021-02-11,118440.000000,120283.000000,118440.000000,119235.000000,119235.000000,7567400
2021-02-12,119300.000000,119763.000000,118163.000000,119116.000000,119116.000000,7655900
2021-02-17,119421.000000,120573.000000,118880.000000,120391.000000,120391.000000,8326100
2021-02-18,120361.000000,120845.000000,118515.000000,119140.000000,119140.000000,10720600
2021-02-19,119199.000000,119250.000000,117867.000000,118748.000000,118748.000000,10402800
2021-02-22,118388.000000,118388.000000,111650.000000,112668.000000,112668.000000,21768700
2021-02-23,112676.000000,115380.000000,112667.000000,115227.000000,115227.000000,15174900
2021-02-24,115229.000000,116208.000000,114668.000000,115668.000000,115668.000000,11399300
2021-02-25,115668.000000,116506.000000,111764.000000,112256.000000,112256.000000,12466500
2021-02-26,112260.000000,113466.000000,109827.000000,110035.000000,110035.000000,14618500
2021-03-01,110036.000000,112445.000000,110036.000000,110335.000000,110335.000000,11239900
2021-03-02,110328.000000,112428.000000,107319.000000,111540.000000,111540.000000,14823200
2021-03-03,111529.000000,112398.000000,107466.000000,111184.000000,111184.000000,15144300
2021-03-04,111191.000000,114433.000000,111163.000000,112690.000000,112690.000000,14221600
2021-03-05,112690.000000,115504.000000,112504.000000,115202.000000,115202.000000,13254800
2021-03-08,115202.000000,115202.000000,110268.000000,110612.000000,110612.000000,0
2021-03-09,110611.000000,112525.000000,109343.000000,111331.000000,111331.000000,12135300
2021-03-10,111331.000000,112928.000000,109999.000000,112776.000000,112776.000000,12511800
2021-03-11,112782.000000,115127.000000,112776.000000,114984.000000,114984.000000,12092100
2021-03-12,114984.000000,114984.000000,113253.000000,114160.000000,114160.000000,8110700
2021-03-15,114093.000000,114903.000000,113635.000000,114851.000000,114851.000000,8224700
2021-03-16,114845.000000,114974.000000,113370.000000,114019.000000,114019.000000,78000
2021-03-17,114018.000000,116736.000000,113428.000000,116549.000000,116549.000000,94300
2021-03-18,116549.000000,116751.000000,114302.000000,114835.000000,114835.000000,9920100
2021-03-19,114837.000000,116446.000000,114610.000000,116222.000000,116222.000000,12341800
2021-03-22,116222.000000,116225.000000,113620.000000,114979.000000,114979.000000,8160600
2021-03-23,114977.000000,115599.000000,113062.000000,113262.000000,113262.000000,8301500
2021-03-24,113272.000000,114823.000000,112064.000000,112064.000000,112064.000000,9834000
2021-03-25,112065.000000,114024.000000,110927.000000,113750.000000,113750.000000,10306500
2021-03-26,113750.000000,115416.000000,113305.000000,114781.000000,114781.000000,8659500
2021-03-29,114776.000000,115553.000000,114096.000000,115419.000000,115419.000000,7463300
2021-03-30,115414.000000,117090.000000,114999.000000,116850.000000,116850.000000,8141600
2021-03-31,116850.000000,117249.000000,115932.000000,116634.000000,116634.000000,10659200
2021-04-01,116644.000000,117088.000000,114991.000000,115253.000000,115253.000000,8009200
2021-04-05,115262.000000,117668.000000,115262.000000,117518.000000,117518.000000,7245100
2021-04-06,117519.000000,118213.000000,117176.000000,117499.000000,117499.000000,6800800
2021-04-07,117499.000000,118303.000000,116748.000000,117624.000000,117624.000000,0
2021-04-08,117624.000000,118850.000000,117486.000000,118313.000000,118313.000000,8778200
2021-04-09,118313.000000,118643.000000,117336.000000,117670.000000,117670.000000,7739400
2021-04-12,117661.000000,118812.000000,117661.000000,118812.000000,118812.000000,7000500
2021-04-13,118809.000000,119529.000000,118041.000000,119297.000000,119297.000000,8977600
2021-04-14,119298.000000,120871.000000,119298.000000,120295.000000,120295.000000,10076600
2021-04-15,120290.000000,121409.000000,120084.000000,120701.000000,120701.000000,7948100
2021-04-16,120701.000000,121333.000000,120199.000000,121114.000000,121114.000000,7945600
2021-04-19,121116.000000,121974.000000,120682.000000,120934.000000,120934.000000,10028100
2021-04-20,120925.000000,121354.000000,119841.000000,120062.000000,120062.000000,7811500
2021-04-22,120064.000000,120995.000000,119203.000000,119371.000000,119371.000000,8598600
2021-04-23,119372.000000,120815.000000,119372.000000,120530.000000,120530.000000,7615500
2021-04-26,120534.000000,121393.000000,119860.000000,120595.000000,120595.000000,7095300
2021-04-27,120595.000000,121012.000000,119003.000000,119388.000000,119388.000000,8362300
2021-04-28,119392.000000,121276.000000,119392.000000,121053.000000,121053.000000,9081500
